variable,label,tipo,n_unicos,valores,bloque,tipo_agregacion,nota_agregacion,usar
idmunici,Código Único de la Municipalidad,character,1874,,,,,SI
ccdd,Código del Departamento,character,25,,,,,SI
ccpp,Código de la Provincia,character,20,,,,,SI
ccdi,Código del Distrito,character,43,,,,,SI
Departamento,Nombre del Departamento,character,25,,,,,SI
Provincia,Nombre de la Provincia,character,198,,,,,SI
Distrito,Nombre del Distrito,character,1732,,,,,SI
catmuni,Categoría de la Municipalidad,haven_labelled,2,Provincial = 1; Distrital = 2; Centro Poblado = 3,,,,SI
year,Año de la encuesta,numeric,5,,,,,SI
direc_muni,¿Municipalidad informó?,haven_labelled,2,No informó = 0; Informó = 1,informacion_no_usar,ninguna,"Variable de control de información, excluir del análisis",NO
nomalcalde,Nombres y apellidos del alcalde,character,3995,,,,,SI
sexo,Alcalde de la municipalidad / sexo,haven_labelled,2,Hombre = 1; Mujer = 2,,,,SI
facebook,Facebook de la municipalidad,haven_labelled,2,No = 0; Sí = 1,,,,SI
web,Página web de la municipalidad,haven_labelled,2,No = 0; Sí = 1,,,,SI
propie_muni,¿Municipalidad Informó?,haven_labelled,1,No = 0; Sí = 1,informacion_no_usar,ninguna,"Variable de control de información, excluir del análisis",NO
locales_propios,Número de locales / Propios,numeric,83,,,,,SI
locales_alquilados,Número de locales / Alquilados,numeric,24,,,,,SI
locales_cedidos,Número de locales / Cedidos,numeric,33,,,,,SI
maqpes_muni,¿Municipalidad Informó?,haven_labelled,2,No = 0; Sí = 1,maquinaria_pesada,ninguna,"Variable de control de información, excluir del análisis",NO
maqpes_muni_1a,Número de bienes / Excavadora / Operativos,numeric,6,,maquinaria_pesada,sumar_operativas,Sumar todas las operativas,SI
maqpes_muni_1b,Número de bienes / Excavadora / No operativos,numeric,4,,maquinaria_pesada,sumar_no_operativas,Sumar todas las no operativas,SI
maqpes_muni_2a,Número de bienes / Retroexcavadora / Operativos,numeric,9,,maquinaria_pesada,sumar_operativas,Sumar todas las operativas,SI
maqpes_muni_2b,Número de bienes / Retroexcavadora / No operativos,numeric,5,,maquinaria_pesada,sumar_no_operativas,Sumar todas las no operativas,SI
maqpes_muni_3a,Número de bienes / Motoniveladora / Operativos,numeric,11,,maquinaria_pesada,sumar_operativas,Sumar todas las operativas,SI
